Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot46,"Logical Solutions",normal,1,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","17:46:56","17:48:47",
Bot45,"Carl",normal,23,Active,"Basement Crates","Basement Crates: Objective #1","1","17:46:56","N/A",
Bot44,"nimanul",normal,21,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","17:46:56","17:47:49",
Bot47,"nohurry",normal,5,Failed,"3rd Floor Bridge","3rd Floor Bridge: Objective #1","1","17:46:56","17:52:36",
Bot50,"Платон Гаджет (Drill)",normal,1,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","17:49:57","17:50:16",
Bot49,"Лёва Доцент (Drill)",normal,1,Failed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","17:49:58","17:50:27",
Bot51,"Армен Спартак (nidhoeggr)",normal,1,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","17:51:35","17:52:37",
Bot53,"Hicchy",normal,3,Active,"1st Floor Office","1st Floor Office: Objective #2","1","17:51:55","N/A",
Bot55,"Изя Шпингалет (skitles55)",normal,1,Active,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","17:52:56","N/A",
